wallet_id,wallet_type,wallet_age_days,total_loans,n_repaid,n_liquidated,repayment_rate,total_volume_usd,max_loan_usd,weighted_score,recency_weighted_score,protocol_diversity,avg_health_factor,default_label,default_prob,base_collateral,score_tier
0x000000000000000000000000000000000000000b,reliable,107,15,13,2,0.8667,128356.19,22277.38,854391.62,147339.3451,2,2.399,0,0.6905558432682426,1.5,Poor
0x000000000000000000000000000000000000000c,moderate,844,8,8,0,1.0,188304.1,74566.44,2031446.95,813356.0119,1,1.338,0,0.008503693508090203,1.0577,Excellent
0x000000000000000000000000000000000000000d,reliable,590,17,16,0,0.9412,226767.75,133088.68,2453040.9,612913.3203,7,2.055,0,0.066066355476218,1.1095,Excellent
0x000000000000000000000000000000000000000e,reliable,70,21,19,1,0.9048,316575.77,96031.86,3152642.3,491621.3827,6,1.474,0,0.32602604276537805,1.3434,Fair
0x000000000000000000000000000000000000000f,moderate,705,5,3,2,0.6,226732.5,90849.56,1884124.01,544987.9511,1,1.466,0,0.662238837382093,1.5,Poor
0x0000000000000000000000000000000000000010,reliable,428,24,23,0,0.9583,533719.13,390767.63,6126438.58,913319.796,1,1.831,0,0.07591349947678457,1.1183,Excellent
0x0000000000000000000000000000000000000011,moderate,448,5,4,0,0.8,22441.55,12425.31,185051.73,36771.5847,2,1.698,0,0.3106429620005129,1.3296,Fair
0x0000000000000000000000000000000000000012,reliable,895,15,14,1,0.9333,225256.01,101121.01,1988122.38,593699.8169,4,1.41,0,0.16676648911021977,1.2001,Good
0x0000000000000000000000000000000000000013,reliable,1018,9,9,0,1.0,43056.36,12344.17,377361.92,114550.9048,5,2.4,0,0.11304969140695906,1.1517,Good
0x0000000000000000000000000000000000000014,moderate,416,5,4,1,0.8,38040.71,18325.74,340002.49,65018.7893,1,1.12,0,0.550874052287615,1.5,Poor
0x0000000000000000000000000000000000000015,moderate,745,14,13,0,0.9286,647978.42,420880.0,7878211.16,1175161.0145,2,1.57,0,0.017241980360688625,1.0655,Excellent
0x0000000000000000000000000000000000000016,reliable,50,13,13,0,1.0,389207.94,172144.01,4447671.42,1147805.8251,7,1.659,0,0.0034390868445382055,1.0531,Excellent
0x0000000000000000000000000000000000000017,moderate,649,10,8,1,0.8,66753.07,45280.71,658645.74,59090.1794,3,1.262,0,0.7050668837667502,1.5,Poor
0x0000000000000000000000000000000000000018,reliable,1186,22,19,1,0.8636,188095.82,31896.28,1760600.47,305683.1672,2,1.979,0,0.5965804180458179,1.5,Poor
0x0000000000000000000000000000000000000019,reliable,920,8,8,0,1.0,261300.26,224964.22,3106059.56,871716.2791,5,2.062,0,0.010370937574125981,1.0593,Excellent
0x000000000000000000000000000000000000001a,reliable,65,11,10,0,0.9091,127171.41,50366.85,462925.01,-64337.9113,8,2.11,0,0.3656660988394642,1.3791,Poor
0x000000000000000000000000000000000000001b,reliable,393,9,8,0,0.8889,15807.41,7138.81,128679.15,50337.6384,1,2.326,0,0.20963828430114456,1.2387,Fair
0x000000000000000000000000000000000000001c,reliable,193,9,9,0,1.0,62466.38,20375.0,577295.44,261363.0888,7,1.936,0,0.05751117594140974,1.1018,Excellent
0x000000000000000000000000000000000000001d,reliable,374,5,5,0,1.0,9182.45,6855.36,76062.07,46087.0824,2,1.933,0,0.09188528620828018,1.1327,Excellent
0x000000000000000000000000000000000000001e,reliable,306,21,20,0,0.9524,231264.22,60519.45,1314398.22,214033.7998,8,1.789,0,0.28891312470192815,1.31,Fair
0x000000000000000000000000000000000000001f,moderate,331,12,12,0,1.0,325623.92,125327.91,3585844.76,1032663.1289,2,1.494,0,0.004649459611431906,1.0542,Excellent
0x0000000000000000000000000000000000000020,reliable,900,13,13,0,1.0,48940.28,10512.31,431234.43,136755.8281,5,1.432,0,0.17686242705215496,1.2092,Good
0x0000000000000000000000000000000000000021,reliable,279,19,19,0,1.0,195104.68,74308.85,1947645.61,454619.597,3,1.553,0,0.08209421213271194,1.1239,Excellent
0x0000000000000000000000000000000000000022,reliable,336,17,17,0,1.0,282626.27,94912.31,3027065.39,258871.2092,3,1.624,0,0.1590429060925069,1.1931,Good
0x0000000000000000000000000000000000000023,moderate,642,4,4,0,1.0,25767.23,19490.89,242647.98,58011.4959,2,1.15,0,0.1143438440707268,1.1529,Good
0x0000000000000000000000000000000000000024,moderate,669,14,13,0,0.9286,256990.39,123903.79,2746002.89,472156.747,3,1.62,0,0.10308615659105524,1.1428,Good
0x0000000000000000000000000000000000000025,reliable,243,23,22,0,0.9565,587167.77,459347.3,7042369.28,5690226.1059,1,1.403,0,9.218999183493744e-11,1.05,Excellent
0x0000000000000000000000000000000000000026,risky,647,3,2,1,0.6667,13892.61,7358.78,23532.22,18483.2386,3,1.227,1,0.7592960161308242,1.5,Poor
0x0000000000000000000000000000000000000027,reliable,469,19,18,0,0.9474,201295.33,88925.98,2017953.26,960525.8152,4,1.874,0,0.014341668404253775,1.0629,Excellent
0x0000000000000000000000000000000000000028,reliable,428,22,21,0,0.9545,610486.36,424988.77,7282682.63,559580.4812,3,1.962,0,0.27088258477231464,1.2938,Fair
0x0000000000000000000000000000000000000029,moderate,965,14,13,1,0.9286,350486.42,219037.95,3914015.61,2516597.368,1,1.577,0,6.264691672288992e-05,1.0501,Excellent
0x000000000000000000000000000000000000002a,reliable,60,4,4,0,1.0,60985.79,33667.26,611816.44,48545.0728,1,2.192,0,0.07591693701167077,1.1183,Excellent
0x000000000000000000000000000000000000002b,moderate,238,6,5,1,0.8333,53426.07,36969.75,515576.37,178641.514,3,1.38,0,0.38649127657252946,1.3978,Poor
0x000000000000000000000000000000000000002c,risky,902,9,7,1,0.7778,129934.38,42654.84,1041045.77,268673.0603,3,1.229,0,0.5258655678263152,1.5,Poor
0x000000000000000000000000000000000000002d,moderate,259,9,9,0,1.0,349338.81,168796.83,3938797.78,1620415.3765,1,1.564,0,0.0003021233817652584,1.0503,Excellent
0x000000000000000000000000000000000000002e,reliable,390,14,14,0,1.0,255063.67,115174.26,2712615.39,558374.7151,3,1.449,0,0.043166217871231594,1.0888,Excellent
0x000000000000000000000000000000000000002f,moderate,199,13,12,0,0.9231,405181.66,296855.11,4760698.41,2129184.0762,2,1.585,0,0.0001291333818939484,1.0501,Excellent
0x0000000000000000000000000000000000000030,reliable,1135,5,4,0,0.8,15097.54,9737.51,120171.42,15076.5039,4,2.332,0,0.3482295104602894,1.3634,Fair
0x0000000000000000000000000000000000000031,risky,865,7,4,3,0.5714,340529.84,234145.8,-1298337.42,-871303.2293,2,1.064,1,0.9998694060951857,1.5,Poor
0x0000000000000000000000000000000000000032,moderate,731,8,7,1,0.875,94423.8,31782.95,923946.0,302510.9973,1,1.59,0,0.26282097525547893,1.2865,Fair
0x0000000000000000000000000000000000000033,reliable,312,17,16,0,0.9412,273925.79,74167.87,2252515.57,323471.7169,8,2.349,0,0.14282835197514715,1.1785,Good
0x0000000000000000000000000000000000000034,reliable,1048,14,13,1,0.9286,64822.38,32596.08,580990.34,92917.7532,3,1.626,0,0.5553107357076734,1.5,Poor
0x0000000000000000000000000000000000000035,reliable,83,12,11,1,0.9167,266627.39,74029.12,1855910.94,799068.6147,2,1.502,0,0.0416963765517831,1.0875,Excellent
0x0000000000000000000000000000000000000036,reliable,963,17,16,0,0.9412,172523.3,42307.12,1691181.51,766481.2766,2,1.85,0,0.027844060342578247,1.0751,Excellent
0x0000000000000000000000000000000000000037,reliable,122,19,19,0,1.0,162979.67,24754.89,1538314.11,306998.1792,8,2.44,0,0.09824441984636308,1.1384,Excellent
0x0000000000000000000000000000000000000038,risky,458,7,4,3,0.5714,166543.28,102754.36,1135817.33,247178.768,3,1.055,0,0.968152991613505,1.5,Poor
0x0000000000000000000000000000000000000039,moderate,362,3,3,0,1.0,69133.8,64490.95,751934.08,166727.3428,1,1.239,0,0.0702103459203737,1.1132,Excellent
0x000000000000000000000000000000000000003a,reliable,279,5,4,1,0.8,60386.67,37083.02,28742.02,63650.3353,2,2.26,1,0.4744596483685712,1.477,Poor
0x000000000000000000000000000000000000003b,reliable,828,19,18,1,0.9474,255738.83,77646.62,2619301.35,827657.9816,3,2.287,0,0.05978434180405974,1.1038,Excellent
0x000000000000000000000000000000000000003c,reliable,561,17,15,1,0.8824,297485.19,124574.22,3103714.3,606181.1697,6,2.401,0,0.19104106880911928,1.2219,Good
0x000000000000000000000000000000000000003d,moderate,1015,2,1,1,0.5,56061.45,53936.4,579527.24,48483.5641,2,1.47,0,0.9056218014514262,1.5,Poor
0x000000000000000000000000000000000000003e,moderate,221,11,9,2,0.8182,79698.31,18285.08,560192.29,111432.7692,1,1.178,0,0.7855435942286303,1.5,Poor
0x000000000000000000000000000000000000003f,reliable,767,15,15,0,1.0,350062.04,112133.55,3858127.59,470768.1052,8,1.714,0,0.07571828026952522,1.1181,Excellent
0x0000000000000000000000000000000000000040,reliable,916,8,8,0,1.0,565318.06,315811.55,6951474.74,1414180.4589,2,2.236,0,0.001262968312084544,1.0511,Excellent
0x0000000000000000000000000000000000000041,risky,965,2,1,1,0.5,86689.23,83764.98,-451431.95,-42567.7089,3,1.104,1,0.9471370808392052,1.5,Poor
0x0000000000000000000000000000000000000042,reliable,881,22,21,1,0.9545,602695.91,348129.25,6994465.53,931750.3522,4,2.4,0,0.1278573831256508,1.1651,Good
0x0000000000000000000000000000000000000043,reliable,99,4,4,0,1.0,29177.67,10255.92,260501.33,40698.3094,1,1.45,0,0.09000048416196502,1.131,Excellent
0x0000000000000000000000000000000000000044,reliable,492,23,23,0,1.0,246491.42,154103.33,2653452.76,426751.7918,7,1.717,0,0.17944562312323417,1.2115,Good
0x0000000000000000000000000000000000000045,risky,452,4,3,1,0.75,62191.85,38059.31,24258.66,36220.5372,2,1.233,1,0.655020819049523,1.5,Poor
0x0000000000000000000000000000000000000046,reliable,982,16,15,1,0.9375,82698.27,36635.3,751581.23,271634.41,4,1.745,0,0.38663045671449975,1.398,Poor
0x0000000000000000000000000000000000000047,reliable,826,6,6,0,1.0,17596.97,8082.07,147461.01,55168.5913,3,1.933,0,0.11378780387006868,1.1524,Good
0x0000000000000000000000000000000000000048,reliable,230,23,21,1,0.913,603774.27,288574.56,6813001.91,2209940.7482,2,1.49,0,0.0006398445061320229,1.0506,Excellent
0x0000000000000000000000000000000000000049,moderate,598,1,1,0,1.0,109.21,109.21,513.55,39.9616,2,1.584,0,0.09129496649051767,1.1322,Excellent
0x000000000000000000000000000000000000004a,reliable,965,9,9,0,1.0,38630.89,17562.45,350337.81,162768.5212,5,2.453,0,0.09230951461122074,1.1331,Excellent
0x000000000000000000000000000000000000004b,reliable,605,24,22,1,0.9167,365861.34,86693.88,3708321.95,1357903.732,6,2.113,0,0.012760816472013478,1.0615,Excellent
0x000000000000000000000000000000000000004c,risky,537,6,5,1,0.8333,47349.26,12563.07,287495.67,133792.0705,1,1.073,0,0.4528756298447293,1.4576,Poor
0x000000000000000000000000000000000000004d,reliable,151,19,18,0,0.9474,100749.57,44009.36,809516.09,368255.1593,4,1.922,0,0.12451153860636702,1.1621,Good
0x000000000000000000000000000000000000004e,reliable,473,18,18,0,1.0,269467.56,88106.51,2818484.27,310692.5247,5,1.546,0,0.15179263044102473,1.1866,Good
0x000000000000000000000000000000000000004f,moderate,966,8,7,1,0.875,12575.3,3532.37,53154.55,19430.8972,2,1.104,1,0.5854487113422779,1.5,Poor
0x0000000000000000000000000000000000000050,reliable,316,8,8,0,1.0,70005.17,38621.74,695063.34,119750.8136,2,2.25,0,0.08877095337702277,1.1299,Excellent
0x0000000000000000000000000000000000000051,reliable,1152,11,10,1,0.9091,458051.71,230164.55,5398530.32,1444780.2116,2,1.627,0,0.006470246948695905,1.0558,Excellent
0x0000000000000000000000000000000000000052,reliable,363,21,20,0,0.9524,341479.88,195351.52,3429066.54,575081.3867,1,1.589,0,0.12181976879952264,1.1596,Good
0x0000000000000000000000000000000000000053,reliable,924,8,8,0,1.0,52194.03,17689.95,481463.17,63021.0538,1,2.176,0,0.1263215331129941,1.1637,Good
0x0000000000000000000000000000000000000054,reliable,324,3,2,0,0.6667,8878.43,6583.96,60475.58,6785.1292,5,1.96,0,0.48339015679048736,1.4851,Poor
0x0000000000000000000000000000000000000055,reliable,1181,4,3,0,0.75,22875.76,11673.56,137122.17,1659.3581,4,2.31,0,0.42631369651299517,1.4337,Poor
0x0000000000000000000000000000000000000056,reliable,628,17,15,0,0.8824,139037.64,69957.53,1373812.89,377601.6262,6,1.82,0,0.1968730941991126,1.2272,Good
0x0000000000000000000000000000000000000057,moderate,668,7,7,0,1.0,223827.76,215725.45,2709310.52,505395.5525,2,1.306,0,0.0477490814378177,1.093,Excellent
0x0000000000000000000000000000000000000058,reliable,1183,3,3,0,1.0,11043.45,9514.44,97612.39,53049.8029,8,1.932,0,0.10830421874302304,1.1475,Good
0x0000000000000000000000000000000000000059,risky,184,5,4,1,0.8,591863.8,319984.75,6269062.59,831599.7187,3,0.935,0,0.12357292690987257,1.1612,Good
0x000000000000000000000000000000000000005a,reliable,267,16,16,0,1.0,188743.38,112877.2,2003241.54,323067.1745,6,1.947,0,0.11441294560987002,1.153,Good
0x000000000000000000000000000000000000005b,moderate,922,6,6,0,1.0,406132.71,220184.83,4764802.12,1470210.2572,3,1.259,0,0.0007773826313010432,1.0507,Excellent
0x000000000000000000000000000000000000005c,reliable,872,16,15,0,0.9375,86509.45,39952.76,633925.34,93139.1645,7,1.44,0,0.37301502669221415,1.3857,Poor
0x000000000000000000000000000000000000005d,reliable,119,9,8,0,0.8889,36970.59,18143.17,252991.83,133164.4243,8,2.015,0,0.17631711083672422,1.2087,Good
0x000000000000000000000000000000000000005e,reliable,1081,20,19,1,0.95,459748.46,78277.71,4844985.74,1599953.1029,2,2.417,0,0.0024401897713096222,1.0522,Excellent
0x000000000000000000000000000000000000005f,reliable,291,19,18,0,0.9474,85536.86,25839.35,677480.65,99561.2338,1,2.383,0,0.27178038548629824,1.2946,Fair
0x0000000000000000000000000000000000000060,risky,344,8,6,2,0.75,122045.22,59024.47,1242439.97,568184.6879,1,1.08,0,0.4290146472748196,1.4361,Poor
0x0000000000000000000000000000000000000061,moderate,792,1,1,0,1.0,6656.87,6656.87,58604.12,7166.6272,3,1.343,0,0.10499535991316583,1.1445,Good
0x0000000000000000000000000000000000000062,risky,754,5,3,2,0.6,153839.86,125496.27,1485784.37,683919.008,1,0.957,0,0.5931462601548587,1.5,Poor
0x0000000000000000000000000000000000000063,reliable,169,9,9,0,1.0,86658.78,38031.89,863296.03,72765.1362,2,1.753,0,0.1263602188802796,1.1637,Good
0x0000000000000000000000000000000000000064,risky,148,2,2,0,1.0,181361.85,167734.24,2147600.58,547911.4756,2,1.196,0,0.01823646505694304,1.0664,Excellent
0x0000000000000000000000000000000000000065,reliable,1119,14,14,0,1.0,501404.78,327080.4,5991838.79,1223879.445,6,1.6,0,0.007322771506594657,1.0566,Excellent
0x0000000000000000000000000000000000000066,reliable,95,14,13,0,0.9286,137362.57,31315.4,1291133.88,573167.5723,3,1.501,0,0.04150193790454663,1.0874,Excellent
0x0000000000000000000000000000000000000067,reliable,284,5,5,0,1.0,25742.34,16720.45,232809.43,54046.0504,4,1.463,0,0.10489473446372224,1.1444,Good
0x0000000000000000000000000000000000000068,reliable,478,18,18,0,1.0,518764.49,307300.81,6124042.98,1249016.5796,8,1.559,0,0.007276605914615285,1.0565,Excellent
0x0000000000000000000000000000000000000069,risky,790,1,0,1,0.0,37891.4,37891.4,-199735.15,-16017.8637,2,1.024,1,0.9968972139657878,1.5,Poor
0x000000000000000000000000000000000000006a,reliable,1162,5,5,0,1.0,50264.6,42001.02,515079.59,89311.142,4,2.324,0,0.10487523314241941,1.1444,Good
0x000000000000000000000000000000000000006b,reliable,1194,20,19,0,0.95,203127.44,82086.82,2071711.37,267675.3652,7,2.485,0,0.2624251560150995,1.2862,Fair
0x000000000000000000000000000000000000006c,reliable,55,11,9,1,0.8182,107505.27,34106.53,288949.41,143751.1278,3,1.901,1,0.5040197564574095,1.5,Poor
0x000000000000000000000000000000000000006d,reliable,832,11,11,0,1.0,479807.37,420296.4,5984835.75,404790.4018,6,1.82,0,0.19491770844915954,1.2254,Good
0x000000000000000000000000000000000000006e,reliable,689,19,19,0,1.0,392085.42,268087.74,4565590.69,1946480.9067,2,1.538,0,0.00032489638720948315,1.0503,Excellent
0x000000000000000000000000000000000000006f,reliable,361,5,5,0,1.0,20819.59,10170.54,185456.27,42275.0903,5,2.339,0,0.0874900069381709,1.1287,Excellent
0x0000000000000000000000000000000000000070,reliable,266,18,18,0,1.0,530866.17,381113.43,6337403.06,933044.0608,2,2.3,0,0.02544344787560933,1.0729,Excellent
0x0000000000000000000000000000000000000071,moderate,113,8,6,2,0.75,126704.72,113776.5,1402455.97,72177.3179,3,1.52,0,0.8705193123713507,1.5,Poor
0x0000000000000000000000000000000000000072,moderate,905,3,2,0,0.6667,36737.58,25806.26,234736.01,178771.5432,3,1.138,0,0.42361500993182727,1.4313,Poor
0x0000000000000000000000000000000000000073,reliable,742,23,22,1,0.9565,858359.76,463686.84,1190373.47,254746.5233,7,1.472,1,0.8641194927793706,1.5,Poor
0x0000000000000000000000000000000000000074,moderate,793,5,5,0,1.0,65608.53,44980.42,665260.8,127102.6297,2,1.535,0,0.09797932357520357,1.1382,Excellent
0x0000000000000000000000000000000000000075,moderate,246,8,8,0,1.0,156592.33,93380.33,1694760.94,235368.5373,3,1.26,0,0.08914121320675955,1.1302,Excellent
0x0000000000000000000000000000000000000076,reliable,694,10,9,0,0.9,76937.93,50921.35,755977.68,117560.7148,5,2.19,0,0.2284916226633643,1.2556,Fair
0x0000000000000000000000000000000000000077,reliable,581,24,23,0,0.9583,581678.8,270993.85,6619412.87,765639.4876,3,2.093,0,0.08970539870581173,1.1307,Excellent
0x0000000000000000000000000000000000000078,risky,1018,8,5,3,0.625,120314.36,36328.95,601498.02,515531.1546,2,1.292,1,0.8622461468774832,1.5,Poor
0x0000000000000000000000000000000000000079,reliable,747,9,9,0,1.0,277577.86,214018.79,3243169.92,411166.2755,7,1.803,0,0.07946934217517347,1.1215,Excellent
0x000000000000000000000000000000000000007a,risky,442,5,3,1,0.6,120445.77,81732.25,1011659.93,218836.411,3,1.196,0,0.7557542995189523,1.5,Poor
0x000000000000000000000000000000000000007b,reliable,319,20,20,0,1.0,360168.04,172583.42,3955669.93,1262061.3641,8,1.886,0,0.004179289814825804,1.0538,Excellent
0x000000000000000000000000000000000000007c,moderate,996,8,7,1,0.875,214368.06,126589.12,2165081.56,1609912.7679,3,1.376,0,0.002074603182725547,1.0519,Excellent
0x000000000000000000000000000000000000007d,risky,1178,5,1,4,0.2,152269.55,76711.14,-801372.75,-327334.7936,1,0.907,1,0.9999118854613007,1.5,Poor
0x000000000000000000000000000000000000007e,reliable,862,4,4,0,1.0,20552.07,13499.58,183919.34,50824.9099,2,2.147,0,0.09395650433136894,1.1346,Excellent
0x000000000000000000000000000000000000007f,reliable,569,11,11,0,1.0,331360.1,199442.37,3805485.12,290505.4144,7,2.498,0,0.11171422492539694,1.1505,Good
0x0000000000000000000000000000000000000080,reliable,710,16,16,0,1.0,135712.9,64043.14,1353276.35,212536.6251,4,1.734,0,0.17383628376128035,1.2065,Good
0x0000000000000000000000000000000000000081,reliable,855,15,15,0,1.0,384733.2,165684.8,4357706.17,2465928.6616,3,1.459,0,1.7182352447597294e-05,1.05,Excellent
0x0000000000000000000000000000000000000082,reliable,1069,4,4,0,1.0,8315.61,4557.61,65597.46,11566.9911,6,1.995,0,0.12503267227270734,1.1625,Good
0x0000000000000000000000000000000000000083,risky,587,3,3,0,1.0,51053.28,42538.86,524892.54,51494.6543,2,1.017,0,0.11917673917389787,1.1573,Good
0x0000000000000000000000000000000000000084,reliable,526,22,22,0,1.0,185290.2,37261.23,1790592.68,347402.7693,8,1.876,0,0.14868817498461984,1.1838,Good
0x0000000000000000000000000000000000000085,reliable,985,3,2,1,0.6667,40338.95,22993.67,323411.85,69782.239,1,2.416,0,0.6708142266089241,1.5,Poor
0x0000000000000000000000000000000000000086,reliable,1038,7,7,0,1.0,357683.26,329500.33,4437451.83,606763.4957,1,1.757,0,0.046991911774358006,1.0923,Excellent
0x0000000000000000000000000000000000000087,reliable,1044,8,7,1,0.875,275312.72,155202.08,2072410.34,287136.5605,3,2.182,0,0.3732219442210168,1.3859,Poor
0x0000000000000000000000000000000000000088,reliable,153,15,15,0,1.0,197461.14,79209.53,2032754.44,495266.5746,2,1.998,0,0.04140196669129697,1.0873,Excellent
0x0000000000000000000000000000000000000089,moderate,911,7,7,0,1.0,98202.8,37558.13,987127.4,139509.9163,2,1.637,0,0.1085137590750379,1.1477,Good
0x000000000000000000000000000000000000008a,reliable,446,9,8,0,0.8889,159935.81,109244.3,1720614.43,358632.9272,8,1.69,0,0.12455204423007525,1.1621,Good
0x000000000000000000000000000000000000008b,risky,727,2,2,0,1.0,2857.01,1842.51,20878.14,8402.7093,3,0.986,0,0.1204609106838705,1.1584,Good
0x000000000000000000000000000000000000008c,moderate,795,13,10,1,0.7692,101069.21,50071.83,824721.7,121707.903,3,1.115,0,0.7683072200258417,1.5,Poor
0x000000000000000000000000000000000000008d,reliable,499,23,22,0,0.9565,413733.9,158287.26,4453373.66,787973.861,5,1.771,0,0.05538342882393373,1.0998,Excellent
0x000000000000000000000000000000000000008e,reliable,947,9,9,0,1.0,82298.21,21685.28,779660.19,159425.1934,3,1.902,0,0.10691097411905934,1.1462,Good
0x000000000000000000000000000000000000008f,reliable,504,10,10,0,1.0,79311.94,35090.19,789289.21,275084.4061,4,2.186,0,0.06202743152257543,1.1058,Excellent
0x0000000000000000000000000000000000000090,moderate,652,5,5,0,1.0,100404.87,41317.18,1022458.51,93900.324,2,1.609,0,0.10307999314132908,1.1428,Good
0x0000000000000000000000000000000000000091,moderate,346,9,8,1,0.8889,133833.14,44995.02,1301956.22,455761.1622,2,1.409,0,0.15215366110977838,1.1869,Good
0x0000000000000000000000000000000000000092,reliable,863,4,4,0,1.0,31343.04,20059.12,292383.55,214279.3005,2,2.358,0,0.046573587191740824,1.0919,Excellent
0x0000000000000000000000000000000000000093,reliable,653,16,16,0,1.0,406142.87,267892.72,4719828.0,1439601.1085,4,1.58,0,0.002254953488127771,1.052,Excellent
0x0000000000000000000000000000000000000094,reliable,798,11,10,1,0.9091,564529.32,476980.48,7077985.0,477476.1971,3,2.004,0,0.48162967558856107,1.4835,Poor
0x0000000000000000000000000000000000000095,moderate,964,4,4,0,1.0,8447.52,3694.62,65951.98,5554.1394,1,1.479,0,0.1324657981501428,1.1692,Good
0x0000000000000000000000000000000000000096,reliable,726,9,8,1,0.8889,253006.82,204645.75,2858046.54,268180.1277,6,1.812,0,0.45081089598540103,1.4557,Poor
0x0000000000000000000000000000000000000097,risky,532,9,6,3,0.6667,226071.84,63134.91,1419887.63,491104.4253,3,1.168,0,0.8503322447903721,1.5,Poor
0x0000000000000000000000000000000000000098,moderate,442,1,1,0,1.0,89535.42,89535.42,1020918.74,141228.0606,2,1.168,0,0.07634705332690712,1.1187,Excellent
0x0000000000000000000000000000000000000099,moderate,326,12,11,1,0.9167,152738.15,51080.67,735530.3,515560.0705,2,1.583,1,0.12753911611689542,1.1648,Good
0x000000000000000000000000000000000000009a,moderate,881,11,10,1,0.9091,115069.97,37415.31,1022050.33,288697.5734,1,1.593,0,0.3006903163479052,1.3206,Fair
0x000000000000000000000000000000000000009b,moderate,1167,3,2,0,0.6667,74555.67,51582.1,595817.79,39701.6247,2,1.371,0,0.6007339303846067,1.5,Poor
0x000000000000000000000000000000000000009c,moderate,204,3,3,0,1.0,136654.76,132826.51,1596732.14,110461.1226,3,1.192,0,0.11081726741386604,1.1497,Good
0x000000000000000000000000000000000000009d,reliable,295,18,17,0,0.9444,320901.21,117704.13,3530983.79,1421753.2945,6,2.006,0,0.0018744267120939149,1.0517,Excellent
0x000000000000000000000000000000000000009e,reliable,599,17,17,0,1.0,272698.41,95314.86,2894576.69,1389520.2795,5,1.612,0,0.0015458452238085204,1.0514,Excellent
0x000000000000000000000000000000000000009f,reliable,928,5,5,0,1.0,47864.79,30731.25,463867.32,125206.8134,5,2.135,0,0.0865364368641606,1.1279,Excellent
0x00000000000000000000000000000000000000a0,moderate,682,12,10,2,0.8333,118457.99,46938.71,1049069.49,392806.6698,2,1.337,0,0.5765219307077682,1.5,Poor
0x00000000000000000000000000000000000000a1,moderate,450,11,10,0,0.9091,165845.04,97987.89,1709101.33,926297.2187,1,1.49,0,0.011349357308432536,1.0602,Excellent
0x00000000000000000000000000000000000000a2,moderate,333,7,6,1,0.8571,135103.48,112836.45,-449967.93,-60438.7606,3,1.29,1,0.7059132662913971,1.5,Poor
0x00000000000000000000000000000000000000a3,moderate,532,14,13,1,0.9286,186557.09,75093.28,1531367.44,294685.0679,2,1.252,0,0.35871669136056017,1.3728,Poor
0x00000000000000000000000000000000000000a4,reliable,894,18,18,0,1.0,216168.23,47656.21,2169261.18,695965.6446,8,2.299,0,0.02676432575418017,1.0741,Excellent
0x00000000000000000000000000000000000000a5,reliable,929,6,5,0,0.8333,100034.71,93034.16,1102009.71,620027.9333,7,1.695,0,0.051963885475315594,1.0968,Excellent
0x00000000000000000000000000000000000000a6,moderate,92,2,2,0,1.0,26162.85,24578.29,260154.28,53955.6009,3,1.558,0,0.07544808481356194,1.1179,Excellent
0x00000000000000000000000000000000000000a7,moderate,357,3,3,0,1.0,108449.7,98820.69,1221175.58,65973.621,1,1.512,0,0.10957864161735967,1.1486,Good
0x00000000000000000000000000000000000000a8,moderate,997,4,4,0,1.0,6467.23,5009.77,51748.03,12172.0519,3,1.244,0,0.1433578633451555,1.179,Good
