wallet_id,wallet_type,wallet_age_days,total_loans,n_repaid,n_liquidated,repayment_rate,total_volume_usd,max_loan_usd,weighted_score,recency_weighted_score,protocol_diversity,avg_health_factor,default_label
0x000000000000000000000000000000000000003a,reliable,279,5,4,1,0.8,60386.67,37083.02,28742.02,63650.3353,2,2.26,1
0x000000000000000000000000000000000000003b,reliable,828,19,18,1,0.9474,255738.83,77646.62,2619301.35,827657.9816,3,2.287,0
0x000000000000000000000000000000000000003c,reliable,561,17,15,1,0.8824,297485.19,124574.22,3103714.3,606181.1697,6,2.401,0
0x000000000000000000000000000000000000003d,moderate,1015,2,1,1,0.5,56061.45,53936.4,579527.24,48483.5641,2,1.47,0
0x000000000000000000000000000000000000003e,moderate,221,11,9,2,0.8182,79698.31,18285.08,560192.29,111432.7692,1,1.178,0
0x000000000000000000000000000000000000003f,reliable,767,15,15,0,1.0,350062.04,112133.55,3858127.59,470768.1052,8,1.714,0
0x0000000000000000000000000000000000000040,reliable,916,8,8,0,1.0,565318.06,315811.55,6951474.74,1414180.4589,2,2.236,0
0x0000000000000000000000000000000000000041,risky,965,2,1,1,0.5,86689.23,83764.98,-451431.95,-42567.7089,3,1.104,1
0x0000000000000000000000000000000000000042,reliable,881,22,21,1,0.9545,602695.91,348129.25,6994465.53,931750.3522,4,2.4,0
0x0000000000000000000000000000000000000043,reliable,99,4,4,0,1.0,29177.67,10255.92,260501.33,40698.3094,1,1.45,0
0x0000000000000000000000000000000000000044,reliable,492,23,23,0,1.0,246491.42,154103.33,2653452.76,426751.7918,7,1.717,0
0x0000000000000000000000000000000000000045,risky,452,4,3,1,0.75,62191.85,38059.31,24258.66,36220.5372,2,1.233,1
0x0000000000000000000000000000000000000046,reliable,982,16,15,1,0.9375,82698.27,36635.3,751581.23,271634.41,4,1.745,0
0x0000000000000000000000000000000000000047,reliable,826,6,6,0,1.0,17596.97,8082.07,147461.01,55168.5913,3,1.933,0
0x0000000000000000000000000000000000000048,reliable,230,23,21,1,0.913,603774.27,288574.56,6813001.91,2209940.7482,2,1.49,0
0x0000000000000000000000000000000000000049,moderate,598,1,1,0,1.0,109.21,109.21,513.55,39.9616,2,1.584,0
0x000000000000000000000000000000000000004a,reliable,965,9,9,0,1.0,38630.89,17562.45,350337.81,162768.5212,5,2.453,0
0x000000000000000000000000000000000000004b,reliable,605,24,22,1,0.9167,365861.34,86693.88,3708321.95,1357903.732,6,2.113,0
0x000000000000000000000000000000000000004c,risky,537,6,5,1,0.8333,47349.26,12563.07,287495.67,133792.0705,1,1.073,0
0x000000000000000000000000000000000000004d,reliable,151,19,18,0,0.9474,100749.57,44009.36,809516.09,368255.1593,4,1.922,0
0x000000000000000000000000000000000000004e,reliable,473,18,18,0,1.0,269467.56,88106.51,2818484.27,310692.5247,5,1.546,0
0x000000000000000000000000000000000000004f,moderate,966,8,7,1,0.875,12575.3,3532.37,53154.55,19430.8972,2,1.104,1
0x0000000000000000000000000000000000000050,reliable,316,8,8,0,1.0,70005.17,38621.74,695063.34,119750.8136,2,2.25,0
0x0000000000000000000000000000000000000051,reliable,1152,11,10,1,0.9091,458051.71,230164.55,5398530.32,1444780.2116,2,1.627,0
0x0000000000000000000000000000000000000052,reliable,363,21,20,0,0.9524,341479.88,195351.52,3429066.54,575081.3867,1,1.589,0
0x0000000000000000000000000000000000000053,reliable,924,8,8,0,1.0,52194.03,17689.95,481463.17,63021.0538,1,2.176,0
0x0000000000000000000000000000000000000054,reliable,324,3,2,0,0.6667,8878.43,6583.96,60475.58,6785.1292,5,1.96,0
0x0000000000000000000000000000000000000055,reliable,1181,4,3,0,0.75,22875.76,11673.56,137122.17,1659.3581,4,2.31,0
0x0000000000000000000000000000000000000056,reliable,628,17,15,0,0.8824,139037.64,69957.53,1373812.89,377601.6262,6,1.82,0
0x0000000000000000000000000000000000000057,moderate,668,7,7,0,1.0,223827.76,215725.45,2709310.52,505395.5525,2,1.306,0
0x0000000000000000000000000000000000000058,reliable,1183,3,3,0,1.0,11043.45,9514.44,97612.39,53049.8029,8,1.932,0
0x0000000000000000000000000000000000000059,risky,184,5,4,1,0.8,591863.8,319984.75,6269062.59,831599.7187,3,0.935,0
0x000000000000000000000000000000000000005a,reliable,267,16,16,0,1.0,188743.38,112877.2,2003241.54,323067.1745,6,1.947,0
0x000000000000000000000000000000000000005b,moderate,922,6,6,0,1.0,406132.71,220184.83,4764802.12,1470210.2572,3,1.259,0
0x000000000000000000000000000000000000005c,reliable,872,16,15,0,0.9375,86509.45,39952.76,633925.34,93139.1645,7,1.44,0
0x000000000000000000000000000000000000005d,reliable,119,9,8,0,0.8889,36970.59,18143.17,252991.83,133164.4243,8,2.015,0
0x000000000000000000000000000000000000005e,reliable,1081,20,19,1,0.95,459748.46,78277.71,4844985.74,1599953.1029,2,2.417,0
0x000000000000000000000000000000000000005f,reliable,291,19,18,0,0.9474,85536.86,25839.35,677480.65,99561.2338,1,2.383,0
0x0000000000000000000000000000000000000060,risky,344,8,6,2,0.75,122045.22,59024.47,1242439.97,568184.6879,1,1.08,0
0x0000000000000000000000000000000000000061,moderate,792,1,1,0,1.0,6656.87,6656.87,58604.12,7166.6272,3,1.343,0
0x0000000000000000000000000000000000000062,risky,754,5,3,2,0.6,153839.86,125496.27,1485784.37,683919.008,1,0.957,0
0x0000000000000000000000000000000000000063,reliable,169,9,9,0,1.0,86658.78,38031.89,863296.03,72765.1362,2,1.753,0
0x0000000000000000000000000000000000000064,risky,148,2,2,0,1.0,181361.85,167734.24,2147600.58,547911.4756,2,1.196,0
0x0000000000000000000000000000000000000065,reliable,1119,14,14,0,1.0,501404.78,327080.4,5991838.79,1223879.445,6,1.6,0
0x0000000000000000000000000000000000000066,reliable,95,14,13,0,0.9286,137362.57,31315.4,1291133.88,573167.5723,3,1.501,0
0x0000000000000000000000000000000000000067,reliable,284,5,5,0,1.0,25742.34,16720.45,232809.43,54046.0504,4,1.463,0
0x0000000000000000000000000000000000000068,reliable,478,18,18,0,1.0,518764.49,307300.81,6124042.98,1249016.5796,8,1.559,0
0x0000000000000000000000000000000000000069,risky,790,1,0,1,0.0,37891.4,37891.4,-199735.15,-16017.8637,2,1.024,1
0x000000000000000000000000000000000000006a,reliable,1162,5,5,0,1.0,50264.6,42001.02,515079.59,89311.142,4,2.324,0
0x000000000000000000000000000000000000006b,reliable,1194,20,19,0,0.95,203127.44,82086.82,2071711.37,267675.3652,7,2.485,0
0x000000000000000000000000000000000000006c,reliable,55,11,9,1,0.8182,107505.27,34106.53,288949.41,143751.1278,3,1.901,1
0x000000000000000000000000000000000000006d,reliable,832,11,11,0,1.0,479807.37,420296.4,5984835.75,404790.4018,6,1.82,0
0x000000000000000000000000000000000000006e,reliable,689,19,19,0,1.0,392085.42,268087.74,4565590.69,1946480.9067,2,1.538,0
0x000000000000000000000000000000000000006f,reliable,361,5,5,0,1.0,20819.59,10170.54,185456.27,42275.0903,5,2.339,0
0x0000000000000000000000000000000000000070,reliable,266,18,18,0,1.0,530866.17,381113.43,6337403.06,933044.0608,2,2.3,0
0x0000000000000000000000000000000000000071,moderate,113,8,6,2,0.75,126704.72,113776.5,1402455.97,72177.3179,3,1.52,0
0x0000000000000000000000000000000000000072,moderate,905,3,2,0,0.6667,36737.58,25806.26,234736.01,178771.5432,3,1.138,0
0x0000000000000000000000000000000000000073,reliable,742,23,22,1,0.9565,858359.76,463686.84,1190373.47,254746.5233,7,1.472,1
0x0000000000000000000000000000000000000074,moderate,793,5,5,0,1.0,65608.53,44980.42,665260.8,127102.6297,2,1.535,0
0x0000000000000000000000000000000000000075,moderate,246,8,8,0,1.0,156592.33,93380.33,1694760.94,235368.5373,3,1.26,0
0x0000000000000000000000000000000000000076,reliable,694,10,9,0,0.9,76937.93,50921.35,755977.68,117560.7148,5,2.19,0
0x0000000000000000000000000000000000000077,reliable,581,24,23,0,0.9583,581678.8,270993.85,6619412.87,765639.4876,3,2.093,0
0x0000000000000000000000000000000000000078,risky,1018,8,5,3,0.625,120314.36,36328.95,601498.02,515531.1546,2,1.292,1
0x0000000000000000000000000000000000000079,reliable,747,9,9,0,1.0,277577.86,214018.79,3243169.92,411166.2755,7,1.803,0
0x000000000000000000000000000000000000007a,risky,442,5,3,1,0.6,120445.77,81732.25,1011659.93,218836.411,3,1.196,0
0x000000000000000000000000000000000000007b,reliable,319,20,20,0,1.0,360168.04,172583.42,3955669.93,1262061.3641,8,1.886,0
0x000000000000000000000000000000000000007c,moderate,996,8,7,1,0.875,214368.06,126589.12,2165081.56,1609912.7679,3,1.376,0
0x000000000000000000000000000000000000007d,risky,1178,5,1,4,0.2,152269.55,76711.14,-801372.75,-327334.7936,1,0.907,1
0x000000000000000000000000000000000000007e,reliable,862,4,4,0,1.0,20552.07,13499.58,183919.34,50824.9099,2,2.147,0
0x000000000000000000000000000000000000007f,reliable,569,11,11,0,1.0,331360.1,199442.37,3805485.12,290505.4144,7,2.498,0
0x0000000000000000000000000000000000000080,reliable,710,16,16,0,1.0,135712.9,64043.14,1353276.35,212536.6251,4,1.734,0
0x0000000000000000000000000000000000000081,reliable,855,15,15,0,1.0,384733.2,165684.8,4357706.17,2465928.6616,3,1.459,0
0x0000000000000000000000000000000000000082,reliable,1069,4,4,0,1.0,8315.61,4557.61,65597.46,11566.9911,6,1.995,0
0x0000000000000000000000000000000000000083,risky,587,3,3,0,1.0,51053.28,42538.86,524892.54,51494.6543,2,1.017,0
0x0000000000000000000000000000000000000084,reliable,526,22,22,0,1.0,185290.2,37261.23,1790592.68,347402.7693,8,1.876,0
0x0000000000000000000000000000000000000085,reliable,985,3,2,1,0.6667,40338.95,22993.67,323411.85,69782.239,1,2.416,0
0x0000000000000000000000000000000000000086,reliable,1038,7,7,0,1.0,357683.26,329500.33,4437451.83,606763.4957,1,1.757,0
0x0000000000000000000000000000000000000087,reliable,1044,8,7,1,0.875,275312.72,155202.08,2072410.34,287136.5605,3,2.182,0
0x0000000000000000000000000000000000000088,reliable,153,15,15,0,1.0,197461.14,79209.53,2032754.44,495266.5746,2,1.998,0
0x0000000000000000000000000000000000000089,moderate,911,7,7,0,1.0,98202.8,37558.13,987127.4,139509.9163,2,1.637,0
0x000000000000000000000000000000000000008a,reliable,446,9,8,0,0.8889,159935.81,109244.3,1720614.43,358632.9272,8,1.69,0
0x000000000000000000000000000000000000008b,risky,727,2,2,0,1.0,2857.01,1842.51,20878.14,8402.7093,3,0.986,0
0x000000000000000000000000000000000000008c,moderate,795,13,10,1,0.7692,101069.21,50071.83,824721.7,121707.903,3,1.115,0
0x000000000000000000000000000000000000008d,reliable,499,23,22,0,0.9565,413733.9,158287.26,4453373.66,787973.861,5,1.771,0
0x000000000000000000000000000000000000008e,reliable,947,9,9,0,1.0,82298.21,21685.28,779660.19,159425.1934,3,1.902,0
0x000000000000000000000000000000000000008f,reliable,504,10,10,0,1.0,79311.94,35090.19,789289.21,275084.4061,4,2.186,0
0x0000000000000000000000000000000000000090,moderate,652,5,5,0,1.0,100404.87,41317.18,1022458.51,93900.324,2,1.609,0
0x0000000000000000000000000000000000000091,moderate,346,9,8,1,0.8889,133833.14,44995.02,1301956.22,455761.1622,2,1.409,0
0x0000000000000000000000000000000000000092,reliable,863,4,4,0,1.0,31343.04,20059.12,292383.55,214279.3005,2,2.358,0
0x0000000000000000000000000000000000000093,reliable,653,16,16,0,1.0,406142.87,267892.72,4719828.0,1439601.1085,4,1.58,0
0x0000000000000000000000000000000000000094,reliable,798,11,10,1,0.9091,564529.32,476980.48,7077985.0,477476.1971,3,2.004,0
0x0000000000000000000000000000000000000095,moderate,964,4,4,0,1.0,8447.52,3694.62,65951.98,5554.1394,1,1.479,0
0x0000000000000000000000000000000000000096,reliable,726,9,8,1,0.8889,253006.82,204645.75,2858046.54,268180.1277,6,1.812,0
0x0000000000000000000000000000000000000097,risky,532,9,6,3,0.6667,226071.84,63134.91,1419887.63,491104.4253,3,1.168,0
0x0000000000000000000000000000000000000098,moderate,442,1,1,0,1.0,89535.42,89535.42,1020918.74,141228.0606,2,1.168,0
0x0000000000000000000000000000000000000099,moderate,326,12,11,1,0.9167,152738.15,51080.67,735530.3,515560.0705,2,1.583,1
0x000000000000000000000000000000000000009a,moderate,881,11,10,1,0.9091,115069.97,37415.31,1022050.33,288697.5734,1,1.593,0
0x000000000000000000000000000000000000009b,moderate,1167,3,2,0,0.6667,74555.67,51582.1,595817.79,39701.6247,2,1.371,0
0x000000000000000000000000000000000000009c,moderate,204,3,3,0,1.0,136654.76,132826.51,1596732.14,110461.1226,3,1.192,0
0x000000000000000000000000000000000000009d,reliable,295,18,17,0,0.9444,320901.21,117704.13,3530983.79,1421753.2945,6,2.006,0
0x000000000000000000000000000000000000009e,reliable,599,17,17,0,1.0,272698.41,95314.86,2894576.69,1389520.2795,5,1.612,0
0x000000000000000000000000000000000000009f,reliable,928,5,5,0,1.0,47864.79,30731.25,463867.32,125206.8134,5,2.135,0
0x00000000000000000000000000000000000000a0,moderate,682,12,10,2,0.8333,118457.99,46938.71,1049069.49,392806.6698,2,1.337,0
0x00000000000000000000000000000000000000a1,moderate,450,11,10,0,0.9091,165845.04,97987.89,1709101.33,926297.2187,1,1.49,0
0x00000000000000000000000000000000000000a2,moderate,333,7,6,1,0.8571,135103.48,112836.45,-449967.93,-60438.7606,3,1.29,1
0x00000000000000000000000000000000000000a3,moderate,532,14,13,1,0.9286,186557.09,75093.28,1531367.44,294685.0679,2,1.252,0
0x00000000000000000000000000000000000000a4,reliable,894,18,18,0,1.0,216168.23,47656.21,2169261.18,695965.6446,8,2.299,0
0x00000000000000000000000000000000000000a5,reliable,929,6,5,0,0.8333,100034.71,93034.16,1102009.71,620027.9333,7,1.695,0
0x00000000000000000000000000000000000000a6,moderate,92,2,2,0,1.0,26162.85,24578.29,260154.28,53955.6009,3,1.558,0
0x00000000000000000000000000000000000000a7,moderate,357,3,3,0,1.0,108449.7,98820.69,1221175.58,65973.621,1,1.512,0
0x00000000000000000000000000000000000000a8,moderate,997,4,4,0,1.0,6467.23,5009.77,51748.03,12172.0519,3,1.244,0
0x00000000000000000000000000000000000000a9,reliable,262,15,15,0,1.0,360344.3,161456.15,4104279.67,1709055.8537,2,2.09,0
0x00000000000000000000000000000000000000aa,moderate,251,13,13,0,1.0,125309.61,80930.13,1303159.08,331239.4297,1,1.252,0
0x00000000000000000000000000000000000000ab,reliable,626,23,21,1,0.913,224402.28,101149.88,2184392.61,529135.467,7,1.621,0
0x00000000000000000000000000000000000000ac,moderate,791,13,12,1,0.9231,187449.2,72170.57,1913501.96,575994.3792,3,1.608,0
0x00000000000000000000000000000000000000ad,reliable,884,15,15,0,1.0,193958.39,81856.37,2020567.13,264097.8482,4,1.726,0
0x00000000000000000000000000000000000000ae,risky,298,4,4,0,1.0,285449.39,223867.26,3417374.34,315403.7754,2,1.225,0
0x00000000000000000000000000000000000000af,reliable,649,12,12,0,1.0,103274.62,44928.99,1009347.74,176216.0127,7,1.801,0
0x00000000000000000000000000000000000000b0,reliable,990,13,13,0,1.0,221357.18,71882.18,2299412.38,549597.4223,6,2.458,0
0x00000000000000000000000000000000000000b1,moderate,562,4,4,0,1.0,78532.73,66902.45,843658.43,439491.4774,2,1.313,0
0x00000000000000000000000000000000000000b2,reliable,122,4,4,0,1.0,105919.7,69615.81,1131395.9,294303.9273,2,2.339,0
0x00000000000000000000000000000000000000b3,reliable,925,9,9,0,1.0,46005.79,11707.53,403007.39,87724.187,3,2.095,0
0x00000000000000000000000000000000000000b4,reliable,308,8,8,0,1.0,381602.82,286974.05,4569791.97,1440370.8654,7,2.364,0
0x00000000000000000000000000000000000000b5,moderate,579,6,6,0,1.0,15487.74,11172.93,135104.8,16126.2111,1,1.153,0
0x00000000000000000000000000000000000000b6,moderate,630,14,14,0,1.0,675401.82,418709.79,8200971.34,5064088.9602,1,1.135,0
0x00000000000000000000000000000000000000b7,moderate,397,1,1,0,1.0,19669.43,19669.43,194469.13,9978.277,3,1.626,0
0x00000000000000000000000000000000000000b8,reliable,167,11,10,1,0.9091,691014.52,610214.43,8921743.44,1382000.0171,1,1.848,0
0x00000000000000000000000000000000000000b9,reliable,875,8,8,0,1.0,68704.21,46369.12,686384.0,212174.8706,8,1.818,0
0x00000000000000000000000000000000000000ba,risky,1113,2,1,1,0.5,8944.51,7162.3,56906.81,4146.5014,2,1.165,0
0x00000000000000000000000000000000000000bb,reliable,1101,12,11,0,0.9167,615667.46,220345.08,7317748.21,5706997.2787,7,1.735,0
0x00000000000000000000000000000000000000bc,reliable,756,18,18,0,1.0,115090.21,21455.14,1067715.06,215369.0646,6,2.406,0
0x00000000000000000000000000000000000000bd,reliable,105,14,13,1,0.9286,114788.66,30968.55,1053252.35,199019.9061,6,1.926,0
0x00000000000000000000000000000000000000be,reliable,929,23,23,0,1.0,390942.89,144360.19,4261568.45,1672683.2008,2,1.941,0
0x00000000000000000000000000000000000000bf,reliable,1044,12,9,1,0.75,38726.52,10290.21,35985.78,27176.4397,7,2.088,1
0x00000000000000000000000000000000000000c0,moderate,345,8,6,1,0.75,78266.66,22239.11,497067.92,199524.3464,1,1.151,0
0x00000000000000000000000000000000000000c1,reliable,621,9,9,0,1.0,98467.71,34693.89,984123.59,142252.0596,5,2.38,0
0x00000000000000000000000000000000000000c2,reliable,474,14,14,0,1.0,290550.32,188807.77,3262671.37,1660397.2403,7,2.134,0
0x00000000000000000000000000000000000000c3,reliable,814,8,7,0,0.875,32140.92,10576.57,263552.15,65657.6723,1,1.562,0
0x00000000000000000000000000000000000000c4,reliable,624,9,9,0,1.0,48553.53,20749.46,439533.07,92594.9264,3,1.742,0
0x00000000000000000000000000000000000000c5,reliable,85,19,17,0,0.8947,461779.65,159361.99,4878469.64,1438466.0629,6,2.111,0
0x00000000000000000000000000000000000000c6,reliable,915,6,6,0,1.0,58966.57,36320.66,578415.06,144495.7276,8,1.878,0
0x00000000000000000000000000000000000000c7,moderate,54,2,2,0,1.0,9778.05,5333.36,83104.51,15537.7942,2,1.236,0
0x00000000000000000000000000000000000000c8,reliable,788,21,21,0,1.0,197253.87,46186.48,1935633.32,552487.2889,3,1.698,0
0x00000000000000000000000000000000000000c9,moderate,1076,11,10,1,0.9091,244954.52,188106.6,2737268.01,1277531.6947,1,1.252,0
0x00000000000000000000000000000000000000ca,reliable,804,9,8,1,0.8889,55271.24,20436.47,487462.16,132396.6463,6,2.059,0
0x00000000000000000000000000000000000000cb,reliable,546,16,15,0,0.9375,302347.2,113845.6,1320945.1,162411.8406,4,1.568,0
0x00000000000000000000000000000000000000cc,risky,773,8,6,2,0.75,60618.92,34326.97,515144.01,63469.3616,1,1.074,0
0x00000000000000000000000000000000000000cd,moderate,495,14,11,3,0.7857,302736.01,100496.31,3155949.23,1491165.4947,3,1.143,0
0x00000000000000000000000000000000000000ce,reliable,293,23,22,1,0.9565,490978.94,256798.8,5506622.32,1401781.6032,8,2.393,0
0x00000000000000000000000000000000000000cf,moderate,278,6,5,1,0.8333,210512.79,140560.41,2106229.22,849386.5967,3,1.46,0
0x00000000000000000000000000000000000000d0,reliable,810,16,16,0,1.0,182616.56,101161.88,1929532.88,976766.814,8,2.262,0
0x00000000000000000000000000000000000000d1,reliable,582,22,22,0,1.0,695880.13,195985.1,7802655.4,2830075.0452,6,1.977,0
0x00000000000000000000000000000000000000d2,reliable,453,23,23,0,1.0,1155904.53,656872.65,14624325.76,5892706.8977,3,1.863,0
0x00000000000000000000000000000000000000d3,reliable,570,18,18,0,1.0,258651.66,70698.5,2673179.26,512690.6421,8,2.381,0
0x00000000000000000000000000000000000000d4,reliable,836,6,5,1,0.8333,30577.5,18588.38,276334.42,148185.1542,1,1.742,0
0x00000000000000000000000000000000000000d5,reliable,556,3,3,0,1.0,57398.47,26739.52,569882.79,199391.3399,2,1.644,0
0x00000000000000000000000000000000000000d6,reliable,654,19,18,1,0.9474,235131.62,103100.44,2385295.45,859815.1326,6,2.249,0
0x00000000000000000000000000000000000000d7,reliable,315,14,13,1,0.9286,135420.09,34931.89,863821.26,117250.4673,1,2.231,0
0x00000000000000000000000000000000000000d8,moderate,262,9,7,2,0.7778,40398.85,22087.34,338832.41,140681.048,1,1.101,0
0x00000000000000000000000000000000000000d9,reliable,1185,10,10,0,1.0,180035.33,144665.32,2032691.37,1590860.2649,6,1.617,0
